snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk,x (m),y (m),CAS (kts),TAS (kts),distance (m),distance (ft)
1546323338,0,239,52.30404,4.77608,728,0,7332,0,0,0.108345700538027,0.104714438623706,0,0
1546323353,0,239,52.30393,4.77576,728,13,7332,-21.8278200208457,-12.2399952577924,13.5591565486561,13.1047144386237,25.0254113007801,82.1083744778596
1546323364,0,239,52.30354,4.77476,728,29,7332,-90.0405486814939,-55.6357406120688,30.1140006694169,29.1047144386237,105.871976262963,347.365954118781
1546323370,0,236,52.3029,4.77308,728,58,7332,-204.640561113252,-126.847120501409,60.4443627687257,58.4185388424647,240.79500422744,790.04840887023
1546323385,0,239,52.29917,4.76339,728,120,7332,-865.702311442677,-541.824241076024,124.269676606244,120.104714438624,1021.3131964235,3350.92859746549
1546323391,0,239,52.29711,4.75806,728,140,7332,-1229.36797043279,-770.969745748297,144.963231757195,140.104714438624,1451.15080976163,4761.2258068279
1546323398,0,237,52.29474,4.7519,728,148,7332,-1649.70612799291,-1034.56453892034,153.457213216104,148.314015737458,1947.30238104651,6389.09911221359
1546323404,25,237,52.29264,4.74633,728,144,7332,-2029.82128719136,-1268.09651115642,149.264790264868,144.314015737458,2393.42424366808,7852.82494347496
1546323411,300,238,52.29044,4.74068,728,142,7332,-2415.43643712596,-1512.72385599161,146.506423271735,142.209396980215,2850.08777593247,9351.13799283444
1546323417,625,238,52.2885,4.7355,728,138,7332,-2769.00263330061,-1728.40815429916,141.719136999208,138.209396980215,3264.24809708097,10709.9980065227
1546323423,925,237,52.28641,4.73015,728,135,7332,-3134.21086903842,-1960.7507377803,138.149399056882,135.314015737458,3697.09926266727,12130.1826808113
1546323434,1225,238,52.28243,4.71939,728,147,7332,-3868.80773039852,-2403.09699668809,149.641892757967,147.209396980215,4554.59722854814,14943.6335068665
1546323442,1350,239,52.28017,4.71321,728,156,7332,-4290.78003111797,-2654.22570544948,158.396521322117,156.104714438624,5045.64330677159,16554.7556895176
1546323453,1575,234,52.2751,4.70024,728,176,7332,-5176.55330000995,-3217.53152815993,178.635170434264,176.627170779606,6095.36123735251,19998.8802197536
1546323459,1700,228,52.27169,4.6936,728,188,7332,-5630.20694745566,-3596.47659168868,191.051132093635,189.247470144907,6686.46274556713,21938.2842682058
1546323465,1775,225,52.26805,4.68742,728,200,7332,-6052.55882875595,-4001.01126321521,203.251770296347,201.552914270615,7271.29555253419,23857.1207078647
1546323473,1850,224,52.26173,4.67727,728,221,7332,-6746.42927565258,-4703.35838738249,224.285342346889,222.653824134902,8258.58865992559,27096.4293932159
1546323479,2000,223,52.25721,4.67005,728,231,7332,-7240.12414877696,-5205.61389674434,233.947572248637,232.754230228336,8962.8579439595,29407.1369141311
1546323485,2150,223,52.25228,4.66236,728,242,7332,-7766.08758878576,-5753.39140831064,244.468197960958,243.754230228336,9722.26412144534,31898.7485824622
1546323491,2350,228,52.24741,4.65401,728,248,7332,-8337.23355551832,-6294.360464496,249.248056096899,249.247470144907,10508.9376465273,34479.8244182562
1546323497,2525,236,52.24362,4.6451,728,250,7332,-8946.53863559679,-6715.01953287905,249.778772730208,250.418538842465,11249.3474873738,36909.1091060736
1546323503,2725,247,52.24059,4.6344,728,254,7332,-9678.05772210962,-7050.79790650817,251.882649267763,253.268783939569,12054.249524972,39549.992691433
1546323510,2850,249,52.23813,4.62391,728,261,7332,-10395.1972375982,-7323.07254384552,258.164363570096,260.061393209759,12821.3365883568,42066.8053463985
1546323518,3075,251,52.23427,4.60579,728,277,7332,-11634.039859514,-7749.82414306509,272.939660060638,275.855146027741,14131.6220417263,46365.851918904
1546323526,3200,251,52.23198,4.59465,728,284,7332,-12395.7518081753,-8002.7866951076,279.35184095615,282.855146027741,14934.2397249785,48999.2405376546
1546323537,3575,251,52.22662,4.56863,728,299,7332,-14175.2120604506,-8594.42425959913,292.545964912818,297.855146027741,16809.4767225725,55151.8931267604
1546323548,4250,251,52.22122,4.54246,728,302,7332,-15965.36615936,-9189.83710641608,292.559028370774,300.855146027741,18696.0524978852,61341.7482455613
1546323554,4675,251,52.21857,4.52972,728,300,7332,-16837.0087530397,-9481.81650734316,288.787372035949,298.855146027741,19615.2982657201,64357.7936098277
1546323561,5025,250,52.21587,4.51698,728,299,7332,-17708.7750161279,-9779.20529923616,286.425216520411,297.958110933998,20536.3935436378,67379.9072166758
1546323573,5575,251,52.21034,4.49082,728,306,7332,-19499.1634660875,-10387.8020363786,290.659616232007,304.855146027741,22427.393488167,73584.2780346758
1546323584,5925,251,52.20483,4.46464,728,316,7332,-21291.3542435781,-10993.51655598,298.625047207118,314.855146027741,24319.1751516204,79791.2136724665
1546323597,6350,251,52.19902,4.43672,728,325,7332,-23203.1132994164,-11631.4024677837,305.207571319307,323.855146027741,26334.5463640915,86403.6466205843
1546323609,6775,251,52.19325,4.40921,728,332,7332,-25087.3117048025,-12264.2375592679,309.815494373618,330.855146027741,28322.1790977405,92925.0696196867
1546323621,7300,250,52.18748,4.38213,728,336,7332,-26942.5898795061,-12896.5117129925,311.179489590647,334.958110933998,30282.2371864205,99356.0202086457
1546323632,7975,250,52.18096,4.35176,728,334,7332,-29023.872509951,-13610.22095126,306.169647428459,332.958110933998,32482.4913227829,106575.054030051
1546323644,8700,250,52.17471,4.32282,728,333,7332,-31007.7480279627,-14293.6219074839,301.893990705783,331.958110933998,34580.7760837089,113459.526330649
1546323656,9350,250,52.16853,4.29408,728,333,7332,-32978.4435775843,-14968.5249257846,298.901790834544,331.958110933998,36663.8351403392,120294.043095453
1546323668,9875,250,52.16295,4.26811,728,336,7332,-34759.6669185694,-15577.2148245361,299.176077435167,334.958110933998,38546.1900439938,126470.049534344
1546323680,10400,250,52.15622,4.23645,728,340,7332,-36931.6966989444,-16310.3197705413,300.303343338345,338.958110933998,40838.6027966831,133991.455775917
1546323693,10900,250,52.14995,4.20685,728,343,7332,-38962.973468022,-16992.3962601969,300.621493138515,341.958110933998,42981.3378830472,141021.769594278
