Distance,Altitude,Speed,THR_SET
7501.938223588969,0.0,144.93849454938382,16094.005347385595
13200.704987444158,1040.5012117334472,133.6653783099463,16549.882650484276
19751.153667097755,1592.3616054015974,177.24960678396408,15756.625702395122
31914.48368017003,2065.9578516592,243.534529462531,14368.56146416529
38181.355662914175,2770.038003488018,254.04737397795145,12350.606545073217
53749.491036641375,3422.8172338069053,298.3551739980541,12210.387727923486
70635.24014028828,5173.059396122506,298.41518553489465,12485.03965001808
82086.37501886446,5894.856416270721,313.9074989313272,12642.060109442536
99912.89072650636,7052.817277250399,335.91651408694287,12718.968075595552
122487.9040844398,9077.55995577939,330.5111380334227,13112.048390769687
131940.85694003795,9878.63625891149,334.8587059464911,13376.503876304294
138378.57795192848,10406.026068065632,338.8908402199564,13494.070325322895
