Step Type,Thrust Rating,Flap_ID,End Point Altitude (ft),End Point CAS (kt),Rate Of Climb (ft/min),Weight (lbs),Tflex (C)
TakeOff,MaxTakeoff,1+F,,,,131325.30753418873,59.066853183496676
Climb,MaxTakeoff,1+F,1040.5012117334472,,,,
Accelerate,MaxTakeoff,1+F,,179.21941784162345,1167.983605019834,,
Accelerate,MaxTakeoff,1,,244.54768931028366,982.4630464443272,,
Climb,MaxClimb,ZERO,2770.038003488018,,,,
Accelerate,MaxClimb,ZERO,,293.69507805606236,1299.9860104953632,,
Climb,MaxClimb,ZERO,5173.059396122506,,,,
Accelerate,MaxClimb,ZERO,,297.8607940166802,2130.815218158102,,
Accelerate,MaxClimb,ZERO,,313.2386199200612,2027.8512469312702,,
Climb,MaxClimb,ZERO,9077.55995577939,,,,
Climb,MaxClimb,ZERO,9878.63625891149,,,,
Climb,MaxClimb,ZERO,10406.026068065632,,,,
